"name","constant","operant","region","atlas_id"
"eTIVc3",-2.20363613819857e-15,"eTIVc3 * pow(eTIVc, 3)","Rostral_middle_frontal_LS","DKT40  "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Rostral_middle_frontal_LS","DKT40  "
"eTIVc_X_MFSq",-0.000246905702635878,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Rostral_middle_frontal_LS","DKT40  "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Rostral_middle_frontal_LS","DKT40  "
"GE",-51.5063573240942,"GE * G_[modality_manuf_id]","Rostral_middle_frontal_LS","DKT40  "
"GE_X_MFSq",0,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_LS","DKT40  "
"Intercept",3898.40674567684,"Intercept","Rostral_middle_frontal_LS","DKT40  "
"MFSq",-42.735181212033,"MFSq * [magnetic_field_strength]","Rostral_middle_frontal_LS","DKT40  "
"Philips",-122.688628933133,"Philips * P_[modality_manuf_id]","Rostral_middle_frontal_LS","DKT40  "
"PHILIPS_X_MFSq",0,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_LS","DKT40  "
"RMSE",427.894846895823,"RMSE","Rostral_middle_frontal_LS","DKT40  "
"sexq",76.5639349007929,"sexq * [gender]","Rostral_middle_frontal_LS","DKT40  "
"Volume",0,"[volume]","Rostral_middle_frontal_LS","DKT40  "
"agec1",-0.00328620940103825,"agec1 * agec","Rostral_middle_frontal_LT","DKT40  "
"agec2",6.34059748876548e-05,"agec2 * pow(agec, 2)","Rostral_middle_frontal_LT","DKT40  "
"agec3",-1.80099233360427e-06,"agec3 * pow(agec, 3)","Rostral_middle_frontal_LT","DKT40  "
"AGEc_X_SEXq",-0.000587926942212642,"AGEc_X_SEXq * agec * [gender]","Rostral_middle_frontal_LT","DKT40  "
"eTIVc1",-1.79061339593751e-08,"eTIVc1 * eTIVc","Rostral_middle_frontal_LT","DKT40  "
"eTIVc2",-1.65481857931294e-14,"eTIVc2 * pow(eTIVc, 2)","Rostral_middle_frontal_LT","DKT40  "
"eTIVc3",5.45487578428061e-19,"eTIVc3 * pow(eTIVc, 3)","Rostral_middle_frontal_LT","DKT40  "
"eTIVc_X_GE",1.49631360842427e-07,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Rostral_middle_frontal_LT","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Rostral_middle_frontal_LT","DKT40  "
"eTIVc_X_PHILIPS",-1.20886398437715e-08,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Rostral_middle_frontal_LT","DKT40  "
"GE",-0.0201510838154879,"GE * G_[modality_manuf_id]","Rostral_middle_frontal_LT","DKT40  "
"GE_X_MFSq",0.0454639349985379,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_LT","DKT40  "
"Intercept",2.36429125823146,"Intercept","Rostral_middle_frontal_LT","DKT40  "
"MFSq",-0.0379297318986842,"MFSq * [magnetic_field_strength]","Rostral_middle_frontal_LT","DKT40  "
"Philips",-0.0456954836005639,"Philips * P_[modality_manuf_id]","Rostral_middle_frontal_LT","DKT40  "
"PHILIPS_X_MFSq",0.111687457630078,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_LT","DKT40  "
"RMSE",0.143221890784894,"RMSE","Rostral_middle_frontal_LT","DKT40  "
"sexq",-0.0412374033280222,"sexq * [gender]","Rostral_middle_frontal_LT","DKT40  "
"Volume",0,"[volume]","Rostral_middle_frontal_LT","DKT40  "
"agec1",-48.343183400232,"agec1 * agec","Rostral_middle_frontal_LV","DKT40  "
"agec2",0.489873831602769,"agec2 * pow(agec, 2)","Rostral_middle_frontal_LV","DKT40  "
"agec3",0,"agec3 * pow(agec, 3)","Rostral_middle_frontal_LV","DKT40  "
"AGEc_X_SEXq",-5.23330677213328,"AGEc_X_SEXq * agec * [gender]","Rostral_middle_frontal_LV","DKT40  "
"eTIVc1",0.00634405478670518,"eTIVc1 * eTIVc","Rostral_middle_frontal_LV","DKT40  "
"eTIVc2",2.2855557168293e-09,"eTIVc2 * pow(eTIVc, 2)","Rostral_middle_frontal_LV","DKT40  "
"eTIVc3",-5.92525947797501e-15,"eTIVc3 * pow(eTIVc, 3)","Rostral_middle_frontal_LV","DKT40  "
"eTIVc_X_GE",0.00130710855198881,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Rostral_middle_frontal_LV","DKT40  "
"eTIVc_X_MFSq",-0.0005764445927563,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Rostral_middle_frontal_LV","DKT40  "
"eTIVc_X_PHILIPS",-0.000354627659642674,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Rostral_middle_frontal_LV","DKT40  "
"GE",118.774274650506,"GE * G_[modality_manuf_id]","Rostral_middle_frontal_LV","DKT40  "
"GE_X_MFSq",-384.639486491632,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_LV","DKT40  "
"Intercept",10538.8311585244,"Intercept","Rostral_middle_frontal_LV","DKT40  "
