"name","constant","operant","region","atlas_id"
"eTIVc1",0.000483108812791828,"eTIVc1 * eTIVc","Banks_sts_LS","DK     "
"eTIVc2",1.98873895520904e-10,"eTIVc2 * pow(eTIVc, 2)","Banks_sts_LS","DK     "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Banks_sts_LS","DK     "
"eTIVc_X_GE",-1.25026880466525e-05,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Banks_sts_LS","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Banks_sts_LS","DK     "
"eTIVc_X_PHILIPS",-4.22738117140536e-05,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Banks_sts_LS","DK     "
"GE",-15.1376775068557,"GE * G_[modality_manuf_id]","Banks_sts_LS","DK     "
"GE_X_MFSq",0,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_LS","DK     "
"Intercept",1028.67534374663,"Intercept","Banks_sts_LS","DK     "
"MFSq",-23.8366249782787,"MFSq * [magnetic_field_strength]","Banks_sts_LS","DK     "
"Philips",-27.172478050676,"Philips * P_[modality_manuf_id]","Banks_sts_LS","DK     "
"PHILIPS_X_MFSq",0,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_LS","DK     "
"RMSE",146.100924021719,"RMSE","Banks_sts_LS","DK     "
"sexq",27.816305917083,"sexq * [gender]","Banks_sts_LS","DK     "
"Volume",0,"[volume]","Banks_sts_LS","DK     "
"agec1",-0.00325552859650953,"agec1 * agec","Banks_sts_LT","DK     "
"agec2",5.10617633118713e-06,"agec2 * pow(agec, 2)","Banks_sts_LT","DK     "
"agec3",-6.66314121950632e-07,"agec3 * pow(agec, 3)","Banks_sts_LT","DK     "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Banks_sts_LT","DK     "
"eTIVc1",1.53526536156737e-07,"eTIVc1 * eTIVc","Banks_sts_LT","DK     "
"eTIVc2",0,"eTIVc2 * pow(eTIVc, 2)","Banks_sts_LT","DK     "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Banks_sts_LT","DK     "
"eTIVc_X_GE",-5.30649641058959e-08,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Banks_sts_LT","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Banks_sts_LT","DK     "
"eTIVc_X_PHILIPS",-1.08222341350794e-07,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Banks_sts_LT","DK     "
"GE",-0.0572845769100237,"GE * G_[modality_manuf_id]","Banks_sts_LT","DK     "
"GE_X_MFSq",0.086526054440718,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_LT","DK     "
"Intercept",2.44583067874326,"Intercept","Banks_sts_LT","DK     "
"MFSq",-0.103785236385509,"MFSq * [magnetic_field_strength]","Banks_sts_LT","DK     "
"Philips",0.0234543034727451,"Philips * P_[modality_manuf_id]","Banks_sts_LT","DK     "
"PHILIPS_X_MFSq",0.0462052909352978,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_LT","DK     "
"RMSE",0.167432911937886,"RMSE","Banks_sts_LT","DK     "
"sexq",-0.020374011279459,"sexq * [gender]","Banks_sts_LT","DK     "
"Volume",0,"[volume]","Banks_sts_LT","DK     "
"agec1",-7.66281571521231,"agec1 * agec","Banks_sts_LV","DK     "
"agec2",0,"agec2 * pow(agec, 2)","Banks_sts_LV","DK     "
"agec3",0,"agec3 * pow(agec, 3)","Banks_sts_LV","DK     "
"AGEc_X_SEXq",-1.07908594434709,"AGEc_X_SEXq * agec * [gender]","Banks_sts_LV","DK     "
"eTIVc1",0.00127068374349972,"eTIVc1 * eTIVc","Banks_sts_LV","DK     "
